Théâtre de la Renaissance, théâtre, aime pas, 48.869062,2.356312
Zinc Bar, bar, aime, 48.856562,2.336687
Destination Danger, escape game, aime, 48.847437,2.378812
Nuba Paris, bar, aime, 48.841188,2.369563
Art Ludique, musée, aime pas, 48.839938,2.371313

Zinc Bar, bar, aime, 48.856562,2.336687
Nuba Paris, bar, aime, 48.841188,2.369563
HealthCity, sport, aime, 48.850787,2.345109
Raspoutine Paris, bar, aime pas, 48.871437,2.300313
Spa Diane Barrière, sport, aime, 48.871063,2.301313
Les Dancing de Paris, bar, aime pas, 48.870938,2.302563 
Cartier, magasin, aime, 48.869563,2.302063
Prêt à manger, restaurant, aime, 48.868563,2.303188
Salad’bar, restaurant, aime, 48.872937,2.325188
As du falafel, restaurant, aime, 48.857437,2.359187

HealthCity, sport, aime, 48.850787,2.345109
Raspoutine Paris, bar, aime, 48.871437,2.300313
Spa Diane Barrière, sport, aime pas, 48.871063,2.301313
Cercle de la forme, sport, aime, 48.840063,2.329938
Théâtre de Poche, théâtre, aime, 48.840813,2.324313
Prêt à manger, restaurant, aime, 48.868563,2.303188
Salad’bar, restaurant, aime, 48.872937,2.325188
HD Dinner, restaurant, aime pas, 48.860062,2.348563
Higuma, restaurant, aime, 48.866562,2.335813
Breakfast in America, restaurant, aime, 48.847813,2.351062

Zinc Bar, bar, aime, 48.856562,2.336687
Nuba Paris, bar, aime, 48.841188,2.369563
Raspoutine Paris, bar, aime, 48.871437,2.300313
Spa Diane Barrière, sport, aime, 48.871063,2.301313
Higuma, restaurant, aime, 48.866562,2.335813
Spa Diane Barrière, sport, aime, 48.871063,2.301313
Kebab, restaurant, aime, 48.847437,2.352312
La Petite, bar, aime, 48.844312,2.349688
Le Bar de fer, bar, aime pas,  48.842937,2.348938
The New Margen’s Pub, bar, aime, 48.842438,2.349813
